1. Module Settings,,,,,,,,,,,
This section contains general global configuration settings for the entire modules.  It is expected that these values will be applied unless specifically instructed to change them.,,,,,,,,,,,
,,,,,,,,,,,
1.1.  Module Base Config,,,,,,,,,,,
This is general information to help create the module,,,,,,,,,,,
ipblock,DIE_ENCODING,IDUT,DedcBypass,SUBFLOW,SEARCH_RAIL,DIE_RECOVERY,chainBypass,edcBypass,bypassSetting,search_mode,
cdie,CX816,IPC,1,XCCF,CCF,Recovery_enabled,-1,-1,-1,SearchWithScoreboard,
,,,,,,,,,,,
1.2. Die Recovery configurations,,,,,,,,,,,
Contains any die recovery info to use.,,,,,,,,,,,
DIE_RECOVERY,RECOVERY_MODE,,,,,,,,,,
Recovery_enabled,RecoveryPort,,,,,,,,,,
Recovery_disabled,NoRecovery,,,,,,,,,,
,,,,,,,,,,,
2. Domain config,,,,,,,,,,,
Domain,POWERDOMAIN,RecoveryTracking,Clocking_Mode,hptpBandwidth,hptpFreq,mtsFreq,tstprtfreq,tclkFreq,sUNCOREboard_base_num,AddtionalINFO,
UNCORE,CCF,,OCC,,,,400,50,baseSBVal,DIE_RECOVERY = Recovery_enabled,
,,,,,,,,,,,
3. Flow configuration,,,,,,,,,,,
3.1. SPEED TESTS,,,,,,,,,,,
SYMBOL,CORNER,TESTTYPE,DOMAIN,POWERRAIL,BASESBVAL,search_mode,trial_variable,bypassSetting,CORNERID,SETPOINT_CONFIG,SETPOINT_POST_CONFIG
FXCORNERMTT,F1,ATSPEED,UNCORE,CCF,13710,SearchWithScoreboard,CPU_TRIALS::FlowDomain.RING,-1,CCF_F1,"PSPRE.CLR_F1+"",""+""MCdrv:ringfreq_0:""+__shared__::FlowMatrixSingular.CCF_F1_FREQ+""GHz""",PSPOST.CLR_F1
FXCORNERMTT,F2,ATSPEED,UNCORE,CCF,13710,SearchWithScoreboard,CPU_TRIALS::FlowDomain.RING,-1,CCF_F2,"PSPRE.CLR_F2+"",""+""MCdrv:ringfreq_0:""+__shared__::FlowMatrixSingular.CCF_F2_FREQ+""GHz""",PSPOST.CLR_F2
FXCORNERMTT,F3,ATSPEED,UNCORE,CCF,13710,SearchWithScoreboard,CPU_TRIALS::FlowDomain.RING,-1,CCF_F3,"PSPRE.CLR_F3+"",""+""MCdrv:ringfreq_0:""+__shared__::FlowMatrixSingular.CCF_F3_FREQ+""GHz""",PSPOST.CLR_F3
FXCORNERMTT,F4,ATSPEED,UNCORE,CCF,13710,SearchWithScoreboard,CPU_TRIALS::FlowDomain.RING,-1,CCF_F4,"PSPRE.CLR_F4+"",""+""MCdrv:ringfreq_0:""+__shared__::FlowMatrixSingular.CCF_F4_FREQ+""GHz""",PSPOST.CLR_F4
FXCORNERMTT,F5,ATSPEED,UNCORE,CCF,13710,SearchWithScoreboard,CPU_TRIALS::FlowDomain.RING,-1,CCF_F5,"PSPRE.CLR_F5+"",""+""MCdrv:ringfreq_0:""+__shared__::FlowMatrixSingular.CCF_F5_FREQ+""GHz""",PSPOST.CLR_F5
,,,,,,,,,,,
3.2. FLOW TESTS,,,,,,,,,,,
FLOWID,TESTTYPE,DOMAIN,POWERRAIL,BASESBVAL,LEVEL,SETPOINT_CONFIG,SETPOINT_POST_CONFIG,begin_plist,search_mode,,
BEGINCPU,STUCKAT,UNCORE,CCF,13680,NOM,"PSPRE.CLR_F1+"",""+""MCdrv:ringfreq_0:""+__shared__::FlowMatrixSingular.CCF_F1_FREQ+""GHz""",PSPOST.CLR_F1,begin_full_atpg_all,SearchWithScoreboard,,
BEGINCPU,ATSPEED,UNCORE,CCF,13680,NOM,,,begin_trans,SearchWithScoreboard,,
BEGINCPU,CHAIN,UNCORE,CCF,13680,NOM,,,begin_trans,SearchWithScoreboard,,
,,,,,,,,,,,
,,,,,,,,,,,
3.3. VMAX TESTS,,,,,,,,,,,
SYMBOL,CORNER,TESTTYPE,DOMAIN,POWERRAIL,BASESBVAL,begin_plist,search_mode,CORNERID,SETPOINT_CONFIG,SETPOINT_POST_CONFIG,trial_variable
VMAXCORNER,F1,STUCKAT,UNCORE,CCF,13710,vmaxxccf_full_atpg_all,SearchWithScoreboard,,"PSPRE.CLR_F1+"",""+""MCdrv:ringfreq_0:""+__shared__::FlowMatrixSingular.CCF_F1_FREQ+""GHz"";",PSPOST.CLR_F1,
VMAXCORNERMTT,F5,ATSPEED,UNCORE,CCF,13710,vmaxxccf,SearchWithScoreboard,,"PSPRE.CLR_F5+"",""+""MCdrv:ringfreq_0:""+__shared__::FreqValues.CCF_C5+""GHz""",PSPOST.CLR_F5,RING_TOP
,,,,,,,,,,,
3.4. FMIN TESTS,,,,,,,,,,,
SYMBOL,CORNER,TESTTYPE,DOMAIN,BASESBVAL,CORNERID,SETPOINT_CONFIG,search_mode,begin_plist,SETPOINT_POST_CONFIG,POWERRAIL,
FMINCORNER,FMIN,ATSPEED,UNCORE,13730,CCF_FMIN,"PSPRE.CLR_FMIN+"",""+""MCdrv:ringfreq_0:""+__shared__::FlowMatrixSingular.CCF_FMIN+""GHz""",SearchWithScoreboard,fminxccf,PSPOST.CLR_FMIN,CCF,
FMINCORNER,FMIN,ATSPEED,UNCORE,13730,CCF_FMIN,"PSPRE.CLR_FMIN+"",""+""MCdrv:ringfreq_0:""+__shared__::FlowMatrixSingular.CCF_FMIN+""GHz""",SearchWithScoreboard,fminxccf,PSPOST.CLR_FMIN,CCF,
